x,y
-871,822
-532,288
466,-610
150,93
-600,-405
-261,-939
-814,575
-788,-456
220,-666
621,-322
-291,350
154,966
519,-599
-507,-995
391,155
401,843
924,618
-234,103
-974,293
-250,-430
-737,-518
83,-779
580,27
-891,-985
-49,233
949,-665
627,-908
100,-425
-640,-235
-463,401
196,37
-54,-892
-930,-563
940,720
-870,242
-860,930
-34,514
812,-778
-685,-759
249,48
-663,720
157,459
582,-301
368,679
-721,715
-33,335
151,644
987,916
302,59
639,-548
-662,541
174,813
-690,-753
198,-291
-852,417
-826,-614
547,-137
583,-480
-417,345
-730,-152
20,346
603,926
-858,602
577,-295
-174,480
-140,64
660,679
696,336
-703,890
634,-542
-390,-865
97,-747
-456,767
-965,-800
-857,423
-406,884
542,-131
466,813
903,814
-219,-44
-281,-922
-560,417
713,690
-27,880
749,347
-774,-855
-215,829
210,69
-850,89
220,757
497,-655
-353,895
559,223
-477,-861
-379,-326
934,-654
842,-243
-994,310
-230,-984
-72,356
267,-178
339,-864
-260,305
-224,-38
-164,767
273,768
550,-644
951,-300
610,161
-352,716
-424,-850
422,110
-977,664
458,-233
554,229
-506,249
-759,557
-420,23
817,639
853,296
-983,849
-608,-28
-798,-152
38,120
-702,310
110,-566
222,429
-403,377
-804,33
-80,-690
870,650
808,-228
-930,860
818,460
-218,-624
167,-813
-24,373
776,988
-659,-367
-649,321
-310,-213
29,-747
125,-285
223,250
-751,44
-306,660
-905,-423
-470,-495
-121,-341
803,-222
-596,332
-997,-12
402,-566
899,240
952,-880
-690,670
-844,203
-68,-330
18,-556
367,-402
-545,270
676,353
-699,-197
-360,-731
-262,-196
235,610
538,419
634,881
-400,-130
-963,696
855,-463
-47,897
591,430
-784,-120
62,840
0,-38
-740,152
-527,445
-250,-967
335,-314
780,302
-629,168
-934,286
580,-510
678,25
-783,-299
-384,-28
-312,-714
-190,969
-937,-766
-49,-304
448,502
-67,-910
430,-104
-979,-238
857,-791
791,841
729,-37
-670,517
-137,980
637,374
-84,-140
-834,-638
-485,-484
413,666
976,-160
-728,512
-451,-900
-389,-22
447,250
894,939
-916,461
421,-971
-90,45
-80,733
345,-27
-340,-884
-731,-540
-583,112
3,-545
-398,-889
500,261
438,-617
598,796
648,913
-865,399
-490,-478
-957,810
-243,-601
306,395
501,82
551,199
248,390
936,10
988,200
60,339
-1,-539
301,-730
-513,477
824,-955
271,559
930,195
295,-545
-765,-525
-719,-180
-669,-63
-330,-597
-232,-62
265,744
203,-134
-422,-186
111,277
450,-257
486,-600
-576,-653
-712,-514
296,-724
783,-606
-606,636
-231,-241
220,220
-866,-981
-612,821
451,-436
-800,770
-523,-642
313,-370
-589,990
-250,456
-276,-765
-467,421
-180,-303
-282,-580
-506,-288
153,-652
-472,-704
25,102
123,637
400,-775
897,31
264,-636
-15,703
709,-20
647,-898
761,170
-255,462
84,-72
-718,-760
669,581
-159,924
206,-641
-906,-811
-696,719
-347,873
641,-713
453,-764
-850,252
387,868
-14,524
-415,180
858,453
-296,811
470,-410
-424,-687
-927,944
-213,-467
-151,411
-117,-5
-253,134
-993,324
-367,-934
-271,-472
-6,11
-58,-179
314,181
367,-939
-535,421
900,-476
-998,-801
-100,349
-74,-682
-465,-338
337,350
-653,-389
183,-117
732,879
217,-533
578,412
516,-466
-981,-447
-534,242
855,-1000
-484,359
-350,551
-636,-35
-698,-913
921,751
783,817
705,-594
543,576
-866,442
517,-645
970,-111
-395,27
30,-733
-12,-235
40,-45
389,109
876,227
-924,437
912,-116
251,175
-276,658
-581,776
-831,-153
432,-568
929,238
430,-641
242,-692
338,-230
-686,-553
585,-353
110,320
144,-96
-419,730
-10,-563
-475,798
-599,-958
-112,-840
796,998
-737,-892
-631,258
145,-275
694,721
971,-691
-767,397
504,597
879,-280
751,474
-710,150
-239,-265
-640,-609
597,7
196,-337
-864,-317
-776,-470
60,-198
-331,146
557,608
94,-614
443,-460
-808,746
-860,556
-371,747
-160,967
-90,208
-777,-722
219,963
460,-106
835,-983
-915,-656
530,-865
987,542
-510,561
362,490
174,439
112,-439
-289,-783
270,901
-914,-835
-818,-373
-381,-372
168,624
-553,110
978,-325
-22,500
255,-912
301,-567
353,-377
-986,982
-210,449
-673,-773
-713,-172
-216,634
107,-433
943,-161
-518,-485
-620,-762
-159,387
-524,-300
252,-833
364,162
312,-28
-712,-351
124,-79
210,-305
898,-685
-744,865
467,260
842,-617
-445,932
-908,-290
-984,654
-938,999
-823,757
-503,927
708,322
-454,65
-506,-125
-167,-659
-19,-7
-993,-213
-173,-474
-15,866
314,-356
910,-325
-28,-874
-966,829
469,-68
914,548
-495,414
-156,-120
-521,-807
377,343
716,-191
-649,-53
-711,-931
285,754
125,-659
223,-124
-899,-982
624,220
-350,14
-751,-330
-741,358
-342,629
434,96
-530,578
-504,-453
-165,-987
-103,-109
-43,696
-658,-920
142,-305
240,230
899,-134
-351,-238
86,-237
922,35
521,-309
860,-843
-730,897
-453,-515
-104,-361
-42,517
383,-243
80,-52
367,-776
794,789
882,636
-134,928
-607,-982
-48,702
-110,-176
291,168
-673,650
-637,307
41,-761
-584,-813
-51,-350
-330,989
785,-78
819,-494
-580,60
917,41
-93,178
683,-355
-620,661
-586,245
-810,537
-435,-340
224,-704
625,-360
783,980
-740,-222
595,929
533,51
